merchant,n_charges,avg_monthly_usd,usage_intensity,trial_prob,duration_months,user_priority,monthly_charge_jmd,duration_score,cost_efficiency,value_score,risk_label
ADBE,9,24.020775750486262,0.5151376734611006,0.9063316583950496,19.480329907347745,1.5,3747.2410170758567,0.405840206403078,0.32168257937132144,40.04722497226726,Medium
AMZN,6,17.134322379229857,0.7292519731284146,0.6247950879894019,3.921778364972515,0.5,2672.954291159858,0.08170371593692739,0.6384133177152168,37.17522538198168,High
NFLX,8,10.027087210151148,0.03571094902814309,0.9082936000968188,3.882722557461208,1.0,1564.225604783579,0.08089005328044184,0.053421719009270674,4.138052109968157,High
ADBE,6,8.110584422680333,0.3651633556780287,0.8525225236570574,21.54062936032998,1.5,1265.2511699381319,0.44876311167354127,0.6753459491591457,46.269789336302175,Medium
ADBE,3,13.626271733051421,0.4791693473954418,0.7781046533333603,1.919684332567465,1.0,2125.6983903560217,0.03999342359515552,0.5274766533165323,30.223595877988384,High
AMZN,5,8.438802786878492,0.1864168552101847,0.6053260654774509,11.508111528237748,1.0,1316.4532347530449,0.2397523235049531,0.3313565796916914,24.12367058739322,High
NFLX,4,29.956724405101717,0.12019154144553867,0.423745892261906,37.21670947131168,1.0,4673.249007195868,0.7753481139856601,0.06018258529547529,31.471158674799288,High
NFLX,7,6.229724755800552,0.8703037784998425,0.5576276071516518,22.0891139730541,1.5,971.8370619048861,0.4601898744386271,1.0,74.24944610868619,Low
ADBE,10,16.02858998422691,0.9394316270997966,0.8185061412972379,1.0,0.5,2500.4600375393984,0.020833333333333332,0.8791462268586194,45.07151236500082,Medium
SPOT,4,16.302338059759606,0.07880669804540741,0.610296505617982,4.626377106241703,1.5,2543.1647373224987,0.09638285638003548,0.07251110033100015,17.432102274868384,High
ADBE,1,12.515798214541888,0.3490187125424431,0.7992987592419556,1.8430525781580367,0.5,1952.4645214685347,0.03839692871162576,0.41829379144622714,16.565014658256953,High
ADBE,7,19.283789142673633,0.9582856281444737,0.45579686746475123,35.76791038803928,1.5,3008.271106257087,0.7451647997508184,0.7454076745922228,79.17592769093898,Low
ADBE,9,8.749425603788616,0.08316173313246489,0.8386422602337443,48.0,1.0,1364.9103941910241,1.0,0.14257233028495284,31.812859680924937,High
ADBE,5,24.59780951468084,0.6436413728787262,0.5478788215262598,3.214443860641743,1.0,3837.258284290211,0.06696758043003631,0.39249920150079526,35.91106174507202,High
AMZN,7,13.311192956190958,0.9722213709670056,0.8385240737962143,13.293012657122215,1.0,2076.5461011657894,0.27693776369004613,1.0,61.845557447651444,Medium
NFLX,6,19.783564744966043,0.9782236685813746,0.8702224276526012,22.113985779006658,1.5,3086.2361002147027,0.4607080370626387,0.7416941899944638,66.35342931907978,Medium
AMZN,6,22.890980901673984,0.47122333090374324,0.8797335081165247,3.1938697566095415,1.5,3570.9930206611416,0.06653895326269878,0.3087831838188835,30.323750732403987,High
AMZN,9,27.22605294225403,0.1627491077823806,0.5306873238743173,2.494340503909119,0.5,4247.264258991629,0.051965427164773315,0.08966546204525233,7.129602272273969,High
AMZN,5,25.894685911305004,0.20208431497743884,0.9139934968512328,1.0,1.5,4039.5710021635805,0.020833333333333332,0.11706126635574307,15.799991988781587,High
ADBE,10,20.207725702588988,0.8896013951243946,0.682375442877717,6.371573812594232,0.5,3152.405209603882,0.13274112109571315,0.6603425404352307,42.94616841550635,Medium
SPOT,12,14.709829509597173,0.9116830043297359,0.5103342186304753,27.56370576336281,1.5,2294.733403497159,0.5742438700700586,0.9296671355724322,77.2932519914972,Low
